"355320", "35052", "Sul - Barretos"
"355330", "35142", "Mantiqueira"
"355340", "35155", "São José do Rio Preto"
"355350", "35163", "Sorocaba"
"355360", "35143", "Rio Pardo"
"355365", "35052", "Sul - Barretos"
"355370", "35033", "Norte do DRS III"
"355380", "35061", "Vale do Jurumirim"
"355385", "35162", "Itapeva"
"355390", "35112", "Alta Sorocabana"
"355395", "35092", "Assis"
"355400", "35161", "Itapetininga"
"355410", "35174", "V. Paraíba-Reg. Serrana"
"355420", "35061", "Vale do Jurumirim"
"355430", "35115", "Pontal do Paranapanema"
"355440", "35052", "Sul - Barretos"
"355450", "35163", "Sorocaba"
"355460", "35094", "Ourinhos"
"355465", "35063", "Polo Cuesta"
"355470", "35064", "Jaú"
"355475", "35031", "Central do DRS III"
"355480", "35174", "V. Paraíba-Reg. Serrana"
"355490", "35152", "Santa Fé do Sul"
"355495", "35071", "Bragança"
"355500", "35095", "Tupã"
"355510", "35111", "Alta Paulista"
"355520", "35023", "Consórcios do DRS II"
"355530", "35154", "Fernandópolis"
"355535", "35156", "José Bonifácio"
"355540", "35173", "Litoral Norte"
"355550", "35093", "Marília"
"355560", "35155", "São José do Rio Preto"
"355570", "35156", "José Bonifácio"
"355580", "35153", "Jales"
"355590", "35065", "Lins"
"355600", "35151", "Catanduva"
"355610", "35157", "Votuporanga"
"355620", "35072", "Reg Metro Campinas"
"355630", "35021", "Central do DRS II"
"355635", "35071", "Bragança"
"355640", "35142", "Mantiqueira"
"355645", "35013", "Mananciais"
"355650", "35073", "Jundiaí"
"355660", "35093", "Marília"
"355670", "35072", "Reg Metro Campinas"
"355680", "35052", "Sul - Barretos"
"355690", "35052", "Sul - Barretos"
"355695", "35153", "Jales"
"355700", "35163", "Sorocaba"
"355710", "35157", "Votuporanga"
"355715", "35156", "José Bonifácio"
"355720", "35094", "Ourinhos"
"355730", "35141", "Baixa Mogiana"
